<a href="../../opendoc/openDocument.jsp?iDocID=klUIcZcACRyJMCYATwIAISg1r4Y&sIDType=CUID&sType=pdf&sWindow=Same" title="Link to B0149 Report Description" target="_self" nav="doc">B0149: Positions by Funding Source as of AUG 2022</a>

Execution Date: 8/2/22

Org Unit	Org Unit Desc	Position	Position Desc	Applcn of Fund	Fund	Funding Source	Cost Center	Valid From	Valid To	Fund %	Budgeted Amount	Salaried Amount	Difference Budget Amt & Salary Amt	 PT FTE Positions	 FT FTE Positions	Total FTE Positions
21022776	NCR NAT DPR DO Plan&Nat Sec Office	60033178	User Support Analyst	14800	461680001	Appropriated	4657400000	7/1/22	12/31/99	100.00	58,384.00	58,384.00	0.00		1.000	1.000
21022776	NCR NAT DPR DO Plan&Nat Sec Office	60095816	EnvSpec1*GN09	14800	461680005	Receipts	4657400000	7/1/15	12/31/99	100.00	30,166.00	37,440.00	-7,274.00		1.000	1.000
21022777	NCR NAT DPR DO Plan&Nat Grants Spec Stds	60033161	Parks & Recreation Planning Officer	14800	461680001	Appropriated	4657800000	7/21/22	12/31/99	100.00	76,338.00	76,338.00	0.00		1.000	1.000
21022777	NCR NAT DPR DO Plan&Nat Grants Spec Stds	60033164	Parks & Recreation Consultant	14800	461680001	Appropriated	4657600000	7/1/22	12/31/99	100.00	61,644.00	61,644.00	0.00		1.000	1.000
21022777	NCR NAT DPR DO Plan&Nat Grants Spec Stds	60033167	Community Development Specialist I	14800	461680001	Appropriated	4657800000	7/1/21	12/31/99	100.00	42,700.00	0.00	42,700.00		1.000	1.000
21022777	NCR NAT DPR DO Plan&Nat Grants Spec Stds	60033168	Community Development Specialist I	14800	461680001	Appropriated	4657400000	7/1/21	12/31/99	100.00	54,476.00	0.00	54,476.00		1.000	1.000
21022777	NCR NAT DPR DO Plan&Nat Grants Spec Stds	60095488	ComPlan1*GN12	14800	461680005	Receipts	4657400000	4/7/18	12/31/99	100.00	62,379.00	0.00	62,379.00		1.000	1.000
21022777	NCR NAT DPR DO Plan&Nat Grants Spec Stds	60096025	UserSupAnal*IT04	14800	461680005	Receipts	4650800000	10/1/16	12/31/99	100.00	13,520.00	0.00	13,520.00		1.000	1.000
21022796	NCR NAT DPR DO DO S Jord Warehouse	60032786	Program Coordinator III	14800	461680001	Appropriated	4650900000	7/1/22	12/31/99	100.00	47,080.00	47,080.00	0.00		1.000	1.000
21022796	NCR NAT DPR DO DO S Jord Warehouse	60032823	Maintenance/Construction Technician II	14800	461680001	Appropriated	4650900000	7/22/22	12/31/99	100.00	39,967.00	39,967.00	0.00		1.000	1.000
21022796	NCR NAT DPR DO DO S Jord Warehouse	60033009	Administrative Specialist II	14800	461680001	Appropriated	4650900000	7/1/22	12/31/99	100.00	45,980.00	45,980.00	0.00		1.000	1.000
21022796	NCR NAT DPR DO DO S Jord Warehouse	60096029	Warehouse Assistant*GN04	14800	461680005	Receipts	4650800000	4/7/18	12/31/99	100.00	20,800.00	29,120.00	-8,320.00		1.000	1.000
21022797	NCR NAT DPR DO OPS S Momo	60096134	GroundsWrkr1*GN03	14800	461680001	Appropriated	4654600000	7/1/15	12/31/99	100.00	5,000.00	24,960.00	-19,960.00		1.000	1.000
21022800	NCR NAT DPR DO OPS S Jone	60096098	GUW*GN04	14800	461680001	Appropriated	4653300000	7/1/15	12/31/99	100.00	5,000.00	24,960.00	-19,960.00		1.000	1.000
21022805	NCR NAT DPR DO OPS S Lawa	60095246	GUW*GN04	14800	461680001	Appropriated	4653400000	7/1/15	12/31/99	100.00	3,690.00	0.00	3,690.00		1.000	1.000
21022805	NCR NAT DPR DO OPS S Lawa	60095396	GUW*GN04	14800	461680001	Appropriated	4653400000	1/1/21	12/31/99	100.00	2,362.00	0.00	2,362.00		0.400	0.400
21022805	NCR NAT DPR DO OPS S Lawa	60095398	MusmTech3*GN09	14800	461680001	Appropriated	4653400000	7/1/15	12/31/99	100.00	4,458.00	0.00	4,458.00		1.000	1.000
21022811	NCR NAT DPR DO OPS N Pimo	60096144	GUW*GN04	14800	461680001	Appropriated	4655000000	7/1/15	12/31/99	100.00	5,000.00	0.00	5,000.00		1.000	1.000
21022811	NCR NAT DPR DO OPS N Pimo	60096145	GUW*GN04	14800	461680001	Appropriated	4655000000	7/1/15	12/31/99	100.00	5,000.00	0.00	5,000.00		1.000	1.000
21022813	NCR NAT DPR DO OPS N Hari	60095131	MusmTech1*GN05	14800	461680001	Appropriated	4652300000	7/1/15	12/31/99	100.00	13,968.00	29,120.00	-15,152.00		1.000	1.000
21022813	NCR NAT DPR DO OPS N Hari	60095132	GUW*GN04	14800	461680005	Receipts	4652300000	7/1/15	12/31/99	100.00	13,010.00	0.00	13,010.00		1.000	1.000
21022813	NCR NAT DPR DO OPS N Hari	60095133	GUW*GN04	14800	461680001	Appropriated	4652300000	7/1/15	12/31/99	100.00	2,879.00	0.00	2,879.00		0.400	0.400
21022813	NCR NAT DPR DO OPS N Hari	60095134	GUW*GN04	14800	461680001	Appropriated	4652300000	7/1/15	12/31/99	100.00	5,204.00	0.00	5,204.00		0.400	0.400
21022816	NCR NAT DPR DO OPS N Fala	60096055	GUW*GN04	14800	461680001	Appropriated	4657000000	7/1/15	12/31/99	100.00	5,000.00	0.00	5,000.00		1.000	1.000
21022816	NCR NAT DPR DO OPS N Fala	60096058	GUW*GN04	14800	461680001	Appropriated	4657000000	7/1/15	12/31/99	100.00	5,000.00	0.00	5,000.00		1.000	1.000
21022816	NCR NAT DPR DO OPS N Fala	60096059	AdminSpec1*GN06	14800	461680001	Appropriated	4657000000	7/1/15	12/31/99	100.00	5,000.00	0.00	5,000.00		1.000	1.000
21022818	NCR NAT DPR DO Plan&Nat SO LdPro	60032790	Environmental Specialist II	14800	461680001	Appropriated	4658000000	7/1/22	12/31/99	100.00	67,076.00	67,076.00	0.00		1.000	1.000
21022818	NCR NAT DPR DO Plan&Nat SO LdPro	60033176	Environmental Specialist II	14800	461680001	Appropriated	4657400000	7/1/22	12/31/99	100.00	59,416.00	59,416.00	0.00		1.000	1.000
21022818	NCR NAT DPR DO Plan&Nat SO LdPro	60033177	Environmental Specialist I	14800	461680001	Appropriated	4657400000	7/1/22	12/31/99	100.00	51,178.00	51,178.00	0.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60032828	Environmental Program Supervisor I	14800	461680001	Appropriated	4658000000	7/1/22	12/31/99	100.00	67,275.00	67,275.00	0.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60032832	Environmental Specialist II	14800	461680001	Appropriated	4658000000	7/1/22	12/31/99	100.00	56,844.00	56,844.00	0.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60032943	Environmental Specialist I	14800	461680001	Appropriated	4658000000	7/1/21	12/31/99	100.00	49,096.00	0.00	49,096.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60033014	Environmental Specialist I	14800	461680001	Appropriated	4658000000	7/1/22	12/31/99	100.00	48,799.00	48,799.00	0.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60091483	Environmental Specialist I	14800	461680001	Appropriated	4658000000	7/1/22	12/31/99	100.00	49,212.00	49,212.00	0.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60092633	Environmental Specialist II	14800	461680001	Appropriated	4657400000	7/1/22	12/31/99	100.00	54,903.00	54,903.00	0.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60095245	EnvSpec1*GN09 Lead	14800	461680005	Receipts	4658100000	4/7/18	12/31/99	100.00	33,280.00	41,600.00	-8,320.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60095401	EnvSpec1*GN09	14800	461680001	Appropriated	4654000000	7/1/15	12/31/99	100.00	3,690.00	35,360.00	-31,670.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60095433	EnvSpec1*GN09	14800	461680005	Receipts	4658100000	4/7/18	12/31/99	100.00	29,120.00	35,360.00	-6,240.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60095439	EnvSpec1*GN09 (Lead)	14800	461680005	Receipts	4658100000	4/7/18	12/31/99	100.00	29,120.00	41,600.00	-12,480.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60095487	EnvSpec1*GN09	14800	461680005	Receipts	4657400000	4/7/18	12/31/99	100.00	31,200.00	35,360.00	-4,160.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60095858	EnvSpec1*GN09	14800	461680005	Receipts	4658100000	2/19/22	12/31/99	100.00	39,520.00	35,360.00	4,160.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60096012	EnvSpec1*GN09	14800	461680005	Receipts	4656100000	3/1/22	12/31/99	100.00	5,000.00	35,360.00	-30,360.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60096028	EnvSpec1*GN09 Lead	14800	461680005	Receipts	4658100000	10/1/16	12/31/99	100.00	5,000.00	35,360.00	-30,360.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60096125	EnvSpec1*GN09	14800	461680001	Appropriated	4652000000	7/1/15	12/31/99	100.00	5,000.00	35,360.00	-30,360.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	60096126	EnvSpec1*GN09	14800	461680001	Appropriated	4652000000	7/1/15	12/31/99	100.00	5,000.00	35,360.00	-30,360.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	65020685	Environmental Specialist I	14800	461680001	Appropriated	4658000000	7/1/22	12/31/99	100.00	50,175.00	50,175.00	0.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	65027685	Environmental Specialist II	14800	461680005	Receipts	4658000000	7/1/22	12/31/99	100.00	59,416.00	59,416.00	0.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	65027686	Environmental Specialist II	14800	461680005	Receipts	4658000000	7/1/21	12/31/99	100.00	56,216.00	0.00	56,216.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	65034242	Environmental Specialist II	14800	461680001	Appropriated	4650100000	7/1/21	12/31/99	100.00	58,845.00	0.00	58,845.00		1.000	1.000
21022819	NCR NAT DPR DO Plan&Nat SO NatResProg	65034243	Environmental Specialist II	14800	461680001	Appropriated	4650100000	7/1/21	12/31/99	100.00	58,845.00	0.00	58,845.00		1.000	1.000
21022820	NCR NAT DPR DO Plan&Nat SO Trails	60032942	Environmental Program Supervisor I	14800	461680001	Appropriated	4656400000	7/1/22	12/31/99	100.00	63,449.00	63,449.00	0.00		1.000	1.000
21022820	NCR NAT DPR DO Plan&Nat SO Trails	60032947	Regional Trails Specialist	14800	461680001	Appropriated	4656500000	7/1/22	12/31/99	100.00	44,369.00	44,369.00	0.00		1.000	1.000
21022820	NCR NAT DPR DO Plan&Nat SO Trails	60032948	Regional Trails Specialist	14800	461680001	Appropriated	4656700000	7/1/22	12/31/99	100.00	45,715.00	45,715.00	0.00		1.000	1.000
21022820	NCR NAT DPR DO Plan&Nat SO Trails	60032949	Regional Trails Specialist	14800	461680001	Appropriated	4656800000	7/1/22	12/31/99	100.00	47,797.00	47,797.00	0.00		1.000	1.000
21022820	NCR NAT DPR DO Plan&Nat SO Trails	60095522	Community Development Specialist I	14800	461680001	Appropriated	4656400000	7/1/22	12/31/99	100.00	47,020.00	47,020.00	0.00		1.000	1.000
21022820	NCR NAT DPR DO Plan&Nat SO Trails	60096064	GUW*GN04	24817	462803005	Receipts	4680300000	10/1/16	12/31/99	100.00	5,000.00	0.00	5,000.00		1.000	1.000
21022820	NCR NAT DPR DO Plan&Nat SO Trails	65035021	Community Development Specialist I	24808	462800005	Receipts	4680400000	4/1/22	12/31/99	100.00	46,000.00	0.00	46,000.00		1.000	1.000
21023851	NCR NAT DPR West District	60032913	Parks Regional Superintendent	14800	461680001	Appropriated	4654100000	7/1/22	12/31/99	50.00	41,042.00	41,042.00	0.00		0.500	0.500
